Codi d'expedient;Codi districte;Nom districte;Codi barri;Nom barri;Codi carrer;Nom carrer;Num postal caption;Descripció dia setmana;Dia setmana;Descripció tipus dia;NK Any;Mes de any;Nom mes;Dia de mes;Hora de dia;Descripció causa vianant;Descripció tipus de vehicle;Descripció model;Descripció marca;Descripció color;Descripció carnet;Antiguitat carnet;Coordenada UTM (Y);Coordenada UTM (X)
2013S003321;9;Sant Andreu;61;la Sagrera;121402;Felip II;60 006;Dilluns;Dl;Laboral;2013;5;Maig;6;19;Altres;Motocicleta;SCARABEO 125;APRILIA;Platejat;A;34;4585510,18;432563,54
2013S000550;10;Sant Martí;67;la Vila Olímpica del Poblenou;701265;Litoral (Besòs);820000;Dimecres;Dc;Laboral;2013;1;Gener;23;17;No és causa del  vianant;Motocicleta;CYGNUS 125;YAMAHA;Negre;B;18;4582683,49;433269,63
2013S000552;10;Sant Martí;71;Provençals del Poblenou;701414;C-31;20780000;Dimecres;Dc;Laboral;2013;1;Gener;23;19;No és causa del  vianant;Turismo;320;BMW;Gris;B;21;4585460,09;433580,94
2013S000555;3;Sants-Montjuïc;18;Sants;30602;Badal;1 120 114;Dimecres;Dc;Laboral;2013;1;Gener;23;20;No és causa del  vianant;Motocicleta;SH 125;HONDA;Negre;A;22;4580521,15;427540,32
2013S006290;1;Ciutat Vella;2;el Barri Gòtic;86800;Comtal;340 034;Dijous;Dj;Laboral;2013;9;Setembre;5;16;No és causa del  vianant;Motocicleta;SCV100;HONDA;Gris;B;7;4582236,15;431083,18
2013S006437;7;Horta-Guinardó;36;la Font d'en Fargues;194406;Maragall;3 090 309;Dijous;Dj;Laboral;2013;9;Setembre;12;9;No és causa del  vianant;Bicicleta;Desconegut;BICING;Vermell;Desconegut;Desconegut;4586699,64;430739,93
2013S007236;10;Sant Martí;68;el Poblenou;249304;Pere IV;1 640 166;Divendres;Dv;Laboral;2013;10;Octubre;11;16;No és causa del  vianant;Motocicleta;PHANTEON;HONDA;Vermell;B;21;4583904,96;432994,52
2013S007237;4;Les Corts;21;Pedralbes;144601;Diagonal;6 940 696;Divendres;Dv;Laboral;2013;10;Octubre;11;18;No és causa del  vianant;Motocicleta;BONNEVILLE;TRIUMPH;Altres;A2;37;4582083,33;425819,56
2013S007243;7;Horta-Guinardó;33;el Baix Guinardó;178308;Lepant;3 690 369;Dissabte;Ds;Laboral;2013;10;Octubre;12;0;No és causa del  vianant;Motocicleta;SH 125;HONDA;Negre;B;20;4584737,08;430722,16
2013S007375;8;Nou Barris;44;Vilapicina i la Torre Llobeta;170907;Jota;70 007;Dijous;Dj;Laboral;2013;10;Octubre;17;14;No és causa del  vianant;Turismo;PRIUS;TOYOTA;Blanc;B;22;4586945,65;431857,35
2013S007376;3;Sants-Montjuïc;16;la Bordeta;160903;Ildefons Cerdà;70 007;Dijous;Dj;Laboral;2013;10;Octubre;17;17;No és causa del  vianant;Turismo;320;BMW;Gris;B;38;4579885,35;427810,63
2013S000006;3;Sants-Montjuïc;12;la Marina del Prat Vermell;701266;Litoral (Llobregat);1720000;Dimarts;Dm;Laboral;2013;1;Gener;1;5;No és causa del  vianant;Turismo;PRIMERA;NISSAN;Gris;B;4;4577279,25;427017,84
2013S000687;6;Gràcia;32;el Camp d'en Grassot i Gràcia Nova;286504;Roger de Flor;2 650 265;Dilluns;Dl;Laboral;2013;1;Gener;28;20;No és causa del  vianant;Motocicleta;X Max;YAMAHA;Vermell;A;34;4584103,91;430390,25
2013S000688;2;Eixample;7;la Dreta de l'Eixample;232902;Urquinaona;120 013;Dilluns;Dl;Laboral;2013;1;Gener;28;20;No és causa del  vianant;Taxi;TOLEDO;SEAT;Groc;BTP;11;4582425,04;430908,25
2013S000830;9;Sant Andreu;57;la Trinitat Vella;701267;Dalt (Besòs);1590000;Diumenge;Dg;Laboral;2013;2;Febrer;3;2;No és causa del  vianant;Turismo;X6;BMW;Negre;B;24;4588906,94;432617,25
2013S000832;2;Eixample;8;l'Antiga Esquerra de l'Eixample;32700;Balmes;0167B0167B;Diumenge;Dg;Laboral;2013;2;Febrer;3;9;No és causa del  vianant;Motocicleta;Transalp;HONDA;Negre;A;34;4583163,71;429442,56
2013S000959;5;Sarrià-Sant Gervasi;27;el Putxet i el Farró;143904;General Mitre;1 830 183;Dijous;Dj;Laboral;2013;2;Febrer;7;13;No és causa del  vianant;Turismo;TOUAREG;VOLKSWAGEN;Altres;BTP;25;4584263,86;428333,14
2013S006702;2;Eixample;7;la Dreta de l'Eixample;309406;Sant Pere;550 055;Dissabte;Ds;Laboral;2013;9;Setembre;21;21;No és causa del  vianant;Autobús;CITYCLASS;IRISBUS;Groc;D;6;4582762,3;431482,46
2013S006834;7;Horta-Guinardó;43;Horta;97807;Dante Alighieri;10 003;Divendres;Dv;Laboral;2013;9;Setembre;27;7;No és causa del  vianant;Motocicleta;AN 400;SUZUKI;Negre;Desconegut;Desconegut;4586927,07;430100,29
2013S006839;8;Nou Barris;53;la Trinitat Nova;120807;Favència;2 630 263;Dijous;Dj;Laboral;2013;9;Setembre;26;10;No és causa del  vianant;Turismo;COROLLA;TOYOTA;Gris;B;17;4588858,96;431677,86
2013S005352;2;Eixample;5;el Fort Pienc;169409;Corts Catalanes;8 240 824;Dilluns;Dl;Laboral;2013;7;Juliol;22;18;No és causa del  vianant;Motocicleta;BANDIT;SUZUKI;Negre;A;6;4583817,71;431915,04
2013S005353;7;Horta-Guinardó;39;Sant Genís dels Agudells;148409;Sant Cugat;2 690 269;Dilluns;Dl;Laboral;2013;7;Juliol;22;19;No és causa del  vianant;Ciclomotor;SH 50;HONDA;Gris;AM;2;4587189,86;427688,77
